pair,timeframe,start,end,strategy,period,portofolio final value,%
BTCUSDT,15m,2017-01-01,2020-12-31,RSI,10,10230.810040539403,2.308100405394034
BTCUSDT,15m,2017-01-01,2020-12-31,RSI,11,10447.042732384478,4.4704273238447785
BTCUSDT,15m,2017-01-01,2020-12-31,RSI,12,9669.044263425072,-3.3095573657492787
BTCUSDT,15m,2017-01-01,2020-12-31,RSI,13,9701.994698829989,-2.980053011700111
BTCUSDT,15m,2017-01-01,2020-12-31,RSI,14,9424.143733273871,-5.758562667261286
BTCUSDT,15m,2017-01-01,2020-12-31,RSI,15,9093.309487546157,-9.066905124538426
BTCUSDT,15m,2017-01-01,2020-12-31,RSI,16,8912.041752650008,-10.879582473499923
BTCUSDT,15m,2017-01-01,2020-12-31,RSI,17,9076.544264944449,-9.234557350555516
BTCUSDT,15m,2017-01-01,2020-12-31,RSI,18,9100.950793843429,-8.99049206156571
BTCUSDT,15m,2017-01-01,2020-12-31,RSI,19,9647.268705564533,-3.527312944354671
BTCUSDT,15m,2017-01-01,2020-12-31,RSI,20,9486.611354481212,-5.133886455187876
BTCUSDT,15m,2017-01-01,2020-12-31,RSI,21,9665.169427959954,-3.3483057204004583
BTCUSDT,15m,2017-01-01,2020-12-31,RSI,22,9725.90403983576,-2.7409596016424076
BTCUSDT,15m,2017-01-01,2020-12-31,RSI,23,9874.145162753006,-1.2585483724699407
BTCUSDT,15m,2017-01-01,2020-12-31,RSI,24,9573.194444291812,-4.26805555708188
BTCUSDT,15m,2017-01-01,2020-12-31,RSI,25,9721.780579586259,-2.7821942041374133
BTCUSDT,15m,2017-01-01,2020-12-31,RSI,26,9446.834440232073,-5.531655597679273
BTCUSDT,15m,2017-01-01,2020-12-31,RSI,27,9744.795810300579,-2.552041896994215
BTCUSDT,15m,2017-01-01,2020-12-31,RSI,28,9651.772015986957,-3.482279840130432
BTCUSDT,15m,2017-01-01,2020-12-31,RSI,29,9438.111792307516,-5.618882076924838
BTCUSDT,15m,2017-01-01,2020-12-31,RSI,30,9460.942159875156,-5.39057840124844
