Pair,Timeframe,Start,End,Strategy,Period,Final value,%,Total win,Total loss,SQN
BTCUSDT,1d,2017-01-01,2020-12-31,RSI,10,10474.621,4.746,6,3,0.75
BTCUSDT,1d,2017-01-01,2020-12-31,RSI,11,10386.331,3.863,4,3,0.59
BTCUSDT,1d,2017-01-01,2020-12-31,RSI,12,10411.951,4.12,4,2,0.61
BTCUSDT,1d,2017-01-01,2020-12-31,RSI,13,11723.083,17.231,5,1,1.59
BTCUSDT,1d,2017-01-01,2020-12-31,RSI,14,11361.641,13.616,4,1,1.34
BTCUSDT,1d,2017-01-01,2020-12-31,RSI,15,10816.681,8.167,3,1,0.98
BTCUSDT,1d,2017-01-01,2020-12-31,RSI,16,10893.048,8.93,3,1,1.1
BTCUSDT,1d,2017-01-01,2020-12-31,RSI,17,10893.048,8.93,3,1,1.1
BTCUSDT,1d,2017-01-01,2020-12-31,RSI,18,10950.184,9.502,2,1,0.97
BTCUSDT,1d,2017-01-01,2020-12-31,RSI,19,11116.571,11.166,2,1,1.23
BTCUSDT,1d,2017-01-01,2020-12-31,RSI,20,11186.555,11.866,2,1,1.32
BTCUSDT,1d,2017-01-01,2020-12-31,RSI,21,11186.555,11.866,2,1,1.32
BTCUSDT,1d,2017-01-01,2020-12-31,RSI,22,11186.555,11.866,2,1,1.32
BTCUSDT,1d,2017-01-01,2020-12-31,RSI,23,10923.009,9.23,1,1,1.08
BTCUSDT,1d,2017-01-01,2020-12-31,RSI,24,10923.009,9.23,1,1,1.08
BTCUSDT,1d,2017-01-01,2020-12-31,RSI,25,11282.756,12.828,1,1,1.39
BTCUSDT,1d,2017-01-01,2020-12-31,RSI,26,11282.756,12.828,1,1,1.39
BTCUSDT,1d,2017-01-01,2020-12-31,RSI,27,11346.298,13.463,1,1,1.39
BTCUSDT,1d,2017-01-01,2020-12-31,RSI,28,11346.298,13.463,1,1,1.39
BTCUSDT,1d,2017-01-01,2020-12-31,RSI,29,11443.163,14.432,1,1,1.39
BTCUSDT,1d,2017-01-01,2020-12-31,RSI,30,11443.163,14.432,1,1,1.39
