Pair,Timeframe,Start,End,Strategy,Period,Final value,%,Total win,Total loss,SQN
BTCUSDT,1w,2017-01-01,2020-12-31,RSI,10,11519.086,15.191,2,0,3.08
BTCUSDT,1w,2017-01-01,2020-12-31,RSI,11,11637.561,16.376,2,0,2.84
BTCUSDT,1w,2017-01-01,2020-12-31,RSI,12,10703.691,7.037,1,0,0
BTCUSDT,1w,2017-01-01,2020-12-31,RSI,13,10963.381,9.634,1,0,0
BTCUSDT,1w,2017-01-01,2020-12-31,RSI,14,11156.805,11.568,1,0,0
BTCUSDT,1w,2017-01-01,2020-12-31,RSI,15,10000.0,0.0,0,0,0
BTCUSDT,1w,2017-01-01,2020-12-31,RSI,16,10000.0,0.0,0,0,0
BTCUSDT,1w,2017-01-01,2020-12-31,RSI,17,10000.0,0.0,0,0,0
BTCUSDT,1w,2017-01-01,2020-12-31,RSI,18,10000.0,0.0,0,0,0
BTCUSDT,1w,2017-01-01,2020-12-31,RSI,19,10000.0,0.0,0,0,0
BTCUSDT,1w,2017-01-01,2020-12-31,RSI,20,10000.0,0.0,0,0,0
BTCUSDT,1w,2017-01-01,2020-12-31,RSI,21,10000.0,0.0,0,0,0
BTCUSDT,1w,2017-01-01,2020-12-31,RSI,22,10000.0,0.0,0,0,0
BTCUSDT,1w,2017-01-01,2020-12-31,RSI,23,10000.0,0.0,0,0,0
BTCUSDT,1w,2017-01-01,2020-12-31,RSI,24,10000.0,0.0,0,0,0
BTCUSDT,1w,2017-01-01,2020-12-31,RSI,25,10000.0,0.0,0,0,0
BTCUSDT,1w,2017-01-01,2020-12-31,RSI,26,10000.0,0.0,0,0,0
BTCUSDT,1w,2017-01-01,2020-12-31,RSI,27,10000.0,0.0,0,0,0
BTCUSDT,1w,2017-01-01,2020-12-31,RSI,28,10000.0,0.0,0,0,0
BTCUSDT,1w,2017-01-01,2020-12-31,RSI,29,10000.0,0.0,0,0,0
BTCUSDT,1w,2017-01-01,2020-12-31,RSI,30,10000.0,0.0,0,0,0
