Pair,Timeframe,Start,End,Strategy,Period,Final value,%,Total win,Total loss,SQN
BTCUSDT,30m,2017-01-01,2020-12-31,RSI,10,9504.995,-5.17,226,121,-0.62
BTCUSDT,30m,2017-01-01,2020-12-31,RSI,11,9632.489,-3.675,187,103,-0.43
BTCUSDT,30m,2017-01-01,2020-12-31,RSI,12,9768.115,-2.319,154,92,-0.26
BTCUSDT,30m,2017-01-01,2020-12-31,RSI,13,9453.051,-5.469,129,79,-0.62
BTCUSDT,30m,2017-01-01,2020-12-31,RSI,14,9827.071,-1.729,118,70,-0.18
BTCUSDT,30m,2017-01-01,2020-12-31,RSI,15,9610.794,-3.892,102,62,-0.43
BTCUSDT,30m,2017-01-01,2020-12-31,RSI,16,9745.158,-2.548,89,58,-0.27
BTCUSDT,30m,2017-01-01,2020-12-31,RSI,17,9850.157,-1.498,81,52,-0.16
BTCUSDT,30m,2017-01-01,2020-12-31,RSI,18,9745.363,-2.905,68,46,-0.29
BTCUSDT,30m,2017-01-01,2020-12-31,RSI,19,9898.758,-1.377,60,42,-0.14
BTCUSDT,30m,2017-01-01,2020-12-31,RSI,20,9456.366,-5.785,55,38,-0.65
BTCUSDT,30m,2017-01-01,2020-12-31,RSI,21,9155.619,-8.917,50,37,-1.06
BTCUSDT,30m,2017-01-01,2020-12-31,RSI,22,9349.0,-6.994,48,32,-0.84
BTCUSDT,30m,2017-01-01,2020-12-31,RSI,23,9397.891,-6.507,45,27,-0.73
BTCUSDT,30m,2017-01-01,2020-12-31,RSI,24,9445.692,-6.032,41,24,-0.71
BTCUSDT,30m,2017-01-01,2020-12-31,RSI,25,9353.882,-6.461,38,23,-0.77
BTCUSDT,30m,2017-01-01,2020-12-31,RSI,26,9122.252,-8.777,33,22,-1.03
BTCUSDT,30m,2017-01-01,2020-12-31,RSI,27,9326.714,-6.733,33,19,-0.8
BTCUSDT,30m,2017-01-01,2020-12-31,RSI,28,9310.3,-6.897,30,19,-0.82
BTCUSDT,30m,2017-01-01,2020-12-31,RSI,29,9382.748,-6.173,25,19,-0.74
BTCUSDT,30m,2017-01-01,2020-12-31,RSI,30,9529.211,-4.708,25,19,-0.56
