Pair,Timeframe,Start,End,Strategy,Period,Final value,%,Total win,Total loss,SQN
BTCUSDT,1h,2018-03-01,2020-11-15,RSI,10,9455.525,-5.489,96,56,-0.75
BTCUSDT,1h,2018-03-01,2020-11-15,RSI,11,9636.169,-3.784,82,51,-0.51
BTCUSDT,1h,2018-03-01,2020-11-15,RSI,12,9408.734,-6.055,68,42,-0.79
BTCUSDT,1h,2018-03-01,2020-11-15,RSI,13,9208.148,-8.058,56,38,-1.1
BTCUSDT,1h,2018-03-01,2020-11-15,RSI,14,9349.02,-6.651,52,34,-0.86
BTCUSDT,1h,2018-03-01,2020-11-15,RSI,15,9246.935,-7.531,45,28,-0.96
BTCUSDT,1h,2018-03-01,2020-11-15,RSI,16,8874.751,-11.252,35,29,-1.6
BTCUSDT,1h,2018-03-01,2020-11-15,RSI,17,9114.275,-8.857,36,24,-1.24
BTCUSDT,1h,2018-03-01,2020-11-15,RSI,18,8955.17,-11.291,30,23,-1.77
BTCUSDT,1h,2018-03-01,2020-11-15,RSI,19,9026.517,-10.584,26,23,-1.51
BTCUSDT,1h,2018-03-01,2020-11-15,RSI,20,8963.813,-10.362,24,19,-1.38
BTCUSDT,1h,2018-03-01,2020-11-15,RSI,21,9040.156,-9.598,23,18,-1.34
BTCUSDT,1h,2018-03-01,2020-11-15,RSI,22,9037.708,-9.623,20,16,-1.31
BTCUSDT,1h,2018-03-01,2020-11-15,RSI,23,8941.693,-10.583,18,13,-1.44
BTCUSDT,1h,2018-03-01,2020-11-15,RSI,24,9114.809,-8.852,18,13,-1.22
BTCUSDT,1h,2018-03-01,2020-11-15,RSI,25,9201.961,-7.98,18,12,-1.09
BTCUSDT,1h,2018-03-01,2020-11-15,RSI,26,9179.473,-8.205,16,12,-1.13
BTCUSDT,1h,2018-03-01,2020-11-15,RSI,27,9234.522,-7.655,14,12,-1.07
BTCUSDT,1h,2018-03-01,2020-11-15,RSI,28,9371.093,-6.289,13,11,-0.9
BTCUSDT,1h,2018-03-01,2020-11-15,RSI,29,9499.992,-5.0,14,9,-0.71
BTCUSDT,1h,2018-03-01,2020-11-15,RSI,30,9192.998,-8.07,10,9,-1.22
