pair,timeframe,start,end,strategy,period,portofolio final value,%
BTCUSDT,1w,2018-03-01,2020-11-15,RSI,10,11519.086260624505,15.190862606245044
BTCUSDT,1w,2018-03-01,2020-11-15,RSI,11,11637.561192911202,16.37561192911202
BTCUSDT,1w,2018-03-01,2020-11-15,RSI,12,10703.691150282199,7.036911502821985
BTCUSDT,1w,2018-03-01,2020-11-15,RSI,13,10703.691150282199,7.036911502821985
BTCUSDT,1w,2018-03-01,2020-11-15,RSI,14,10703.691150282199,7.036911502821985
BTCUSDT,1w,2018-03-01,2020-11-15,RSI,15,10703.691150282199,7.036911502821985
BTCUSDT,1w,2018-03-01,2020-11-15,RSI,16,11295.992076426439,12.959920764264387
BTCUSDT,1w,2018-03-01,2020-11-15,RSI,17,11295.992076426439,12.959920764264387
BTCUSDT,1w,2018-03-01,2020-11-15,RSI,18,11522.041316083714,15.220413160837143
BTCUSDT,1w,2018-03-01,2020-11-15,RSI,19,11665.882018292365,16.658820182923645
BTCUSDT,1w,2018-03-01,2020-11-15,RSI,20,10000.0,0.0
BTCUSDT,1w,2018-03-01,2020-11-15,RSI,21,10000.0,0.0
BTCUSDT,1w,2018-03-01,2020-11-15,RSI,22,10000.0,0.0
BTCUSDT,1w,2018-03-01,2020-11-15,RSI,23,10000.0,0.0
BTCUSDT,1w,2018-03-01,2020-11-15,RSI,24,10000.0,0.0
BTCUSDT,1w,2018-03-01,2020-11-15,RSI,25,10000.0,0.0
BTCUSDT,1w,2018-03-01,2020-11-15,RSI,26,10000.0,0.0
BTCUSDT,1w,2018-03-01,2020-11-15,RSI,27,10000.0,0.0
BTCUSDT,1w,2018-03-01,2020-11-15,RSI,28,10000.0,0.0
BTCUSDT,1w,2018-03-01,2020-11-15,RSI,29,10000.0,0.0
BTCUSDT,1w,2018-03-01,2020-11-15,RSI,30,10000.0,0.0
