pair,timeframe,start,end,strategy,period,portofolio final value,%
BTCUSDT,3d,2018-03-01,2020-11-15,RSI,10,10837.072598143206,8.370725981432061
BTCUSDT,3d,2018-03-01,2020-11-15,RSI,11,10955.689815751175,9.55689815751175
BTCUSDT,3d,2018-03-01,2020-11-15,RSI,12,10943.592923880122,9.435929238801217
BTCUSDT,3d,2018-03-01,2020-11-15,RSI,13,10837.963232537997,8.379632325379971
BTCUSDT,3d,2018-03-01,2020-11-15,RSI,14,11000.69546467462,10.006954646746198
BTCUSDT,3d,2018-03-01,2020-11-15,RSI,15,11068.397154878126,10.683971548781264
BTCUSDT,3d,2018-03-01,2020-11-15,RSI,16,11175.432124060117,11.754321240601167
BTCUSDT,3d,2018-03-01,2020-11-15,RSI,17,11532.650895387076,15.326508953870762
BTCUSDT,3d,2018-03-01,2020-11-15,RSI,18,11946.914069228555,19.469140692285546
BTCUSDT,3d,2018-03-01,2020-11-15,RSI,19,10237.697845344526,2.376978453445263
BTCUSDT,3d,2018-03-01,2020-11-15,RSI,20,10283.480167429369,2.834801674293685
BTCUSDT,3d,2018-03-01,2020-11-15,RSI,21,10798.017523980023,7.980175239800229
BTCUSDT,3d,2018-03-01,2020-11-15,RSI,22,10798.017523980023,7.980175239800229
BTCUSDT,3d,2018-03-01,2020-11-15,RSI,23,10798.017523980023,7.980175239800229
BTCUSDT,3d,2018-03-01,2020-11-15,RSI,24,10798.017523980023,7.980175239800229
BTCUSDT,3d,2018-03-01,2020-11-15,RSI,25,10798.017523980023,7.980175239800229
BTCUSDT,3d,2018-03-01,2020-11-15,RSI,26,10798.017523980023,7.980175239800229
BTCUSDT,3d,2018-03-01,2020-11-15,RSI,27,11015.534308229428,10.155343082294275
BTCUSDT,3d,2018-03-01,2020-11-15,RSI,28,11015.534308229428,10.155343082294275
BTCUSDT,3d,2018-03-01,2020-11-15,RSI,29,11472.446916916793,14.724469169167934
BTCUSDT,3d,2018-03-01,2020-11-15,RSI,30,11472.446916916793,14.724469169167934
