pair,timeframe,start,end,strategy,period,portofolio final value,%
BTCUSDT,4h,2018-03-01,2020-11-15,RSI,10,9268.688044534996,-7.313119554650038
BTCUSDT,4h,2018-03-01,2020-11-15,RSI,11,9552.243316388638,-4.47756683611362
BTCUSDT,4h,2018-03-01,2020-11-15,RSI,12,9454.510777649826,-5.454892223501738
BTCUSDT,4h,2018-03-01,2020-11-15,RSI,13,9304.725177123786,-6.952748228762139
BTCUSDT,4h,2018-03-01,2020-11-15,RSI,14,9349.9503237733,-6.5004967622669945
BTCUSDT,4h,2018-03-01,2020-11-15,RSI,15,9199.92443876873,-8.000755612312696
BTCUSDT,4h,2018-03-01,2020-11-15,RSI,16,9239.115640794093,-7.608843592059075
BTCUSDT,4h,2018-03-01,2020-11-15,RSI,17,9063.574618610937,-9.364253813890627
BTCUSDT,4h,2018-03-01,2020-11-15,RSI,18,9137.139960680091,-8.628600393199086
BTCUSDT,4h,2018-03-01,2020-11-15,RSI,19,9272.67685663246,-7.2732314336753925
BTCUSDT,4h,2018-03-01,2020-11-15,RSI,20,9348.751885733567,-6.512481142664328
BTCUSDT,4h,2018-03-01,2020-11-15,RSI,21,9483.018921201754,-5.169810787982461
BTCUSDT,4h,2018-03-01,2020-11-15,RSI,22,9352.094767071114,-6.47905232928886
BTCUSDT,4h,2018-03-01,2020-11-15,RSI,23,9531.463206695298,-4.685367933047019
BTCUSDT,4h,2018-03-01,2020-11-15,RSI,24,9634.00282674555,-3.659971732544509
BTCUSDT,4h,2018-03-01,2020-11-15,RSI,25,9797.17114294519,-2.028288570548102
BTCUSDT,4h,2018-03-01,2020-11-15,RSI,26,9896.8568624407,-1.0314313755930016
BTCUSDT,4h,2018-03-01,2020-11-15,RSI,27,9840.921501940653,-1.590784980593471
BTCUSDT,4h,2018-03-01,2020-11-15,RSI,28,10060.251833069082,0.6025183306908184
BTCUSDT,4h,2018-03-01,2020-11-15,RSI,29,10042.106615719624,0.42106615719623736
BTCUSDT,4h,2018-03-01,2020-11-15,RSI,30,10096.278344148384,0.9627834414838434
