pair,timeframe,start,end,strategy,period,portofolio final value,%
ETHUSDT,12h,2017-01-01,2020-12-31,RSI,10,8898.944494464919,-11.010555055350816
ETHUSDT,12h,2017-01-01,2020-12-31,RSI,11,8598.645740546348,-14.01354259453652
ETHUSDT,12h,2017-01-01,2020-12-31,RSI,12,8752.989300588039,-12.470106994119615
ETHUSDT,12h,2017-01-01,2020-12-31,RSI,13,9154.686903439842,-8.453130965601577
ETHUSDT,12h,2017-01-01,2020-12-31,RSI,14,9342.098379357893,-6.579016206421075
ETHUSDT,12h,2017-01-01,2020-12-31,RSI,15,9813.183782765944,-1.8681621723405621
ETHUSDT,12h,2017-01-01,2020-12-31,RSI,16,9982.584003387126,-0.1741599661287364
ETHUSDT,12h,2017-01-01,2020-12-31,RSI,17,10526.1182783494,5.261182783494005
ETHUSDT,12h,2017-01-01,2020-12-31,RSI,18,10430.108347086338,4.301083470863378
ETHUSDT,12h,2017-01-01,2020-12-31,RSI,19,10551.559243396538,5.5155924339653755
ETHUSDT,12h,2017-01-01,2020-12-31,RSI,20,9976.063152217948,-0.239368477820517
ETHUSDT,12h,2017-01-01,2020-12-31,RSI,21,10059.422909612987,0.594229096129875
ETHUSDT,12h,2017-01-01,2020-12-31,RSI,22,10210.537202973763,2.1053720297376275
ETHUSDT,12h,2017-01-01,2020-12-31,RSI,23,10352.772086040373,3.527720860403733
ETHUSDT,12h,2017-01-01,2020-12-31,RSI,24,10413.862986490287,4.138629864902868
ETHUSDT,12h,2017-01-01,2020-12-31,RSI,25,10106.674497083954,1.066744970839536
ETHUSDT,12h,2017-01-01,2020-12-31,RSI,26,10478.122272897795,4.781222728977955
ETHUSDT,12h,2017-01-01,2020-12-31,RSI,27,10422.305548940214,4.223055489402141
ETHUSDT,12h,2017-01-01,2020-12-31,RSI,28,10534.493738528612,5.344937385286121
ETHUSDT,12h,2017-01-01,2020-12-31,RSI,29,10774.931345934017,7.749313459340174
ETHUSDT,12h,2017-01-01,2020-12-31,RSI,30,11338.440671963592,13.384406719635916
