Pair,Timeframe,Start,End,Strategy,Period,Final value,%,Total win,Total loss,SQN
ETHUSDT,15m,2017-01-01,2020-12-31,RSI,10,8961.132,-10.389,498,253,-0.91
ETHUSDT,15m,2017-01-01,2020-12-31,RSI,11,9760.268,-2.397,406,224,-0.18
ETHUSDT,15m,2017-01-01,2020-12-31,RSI,12,9371.936,-6.281,328,193,-0.47
ETHUSDT,15m,2017-01-01,2020-12-31,RSI,13,9270.069,-7.299,272,170,-0.52
ETHUSDT,15m,2017-01-01,2020-12-31,RSI,14,10016.569,0.166,238,150,0.01
ETHUSDT,15m,2017-01-01,2020-12-31,RSI,15,9468.011,-5.32,200,132,-0.38
ETHUSDT,15m,2017-01-01,2020-12-31,RSI,16,10216.007,2.16,194,109,0.14
ETHUSDT,15m,2017-01-01,2020-12-31,RSI,17,10119.162,1.192,170,100,0.08
ETHUSDT,15m,2017-01-01,2020-12-31,RSI,18,10419.529,4.195,152,88,0.27
ETHUSDT,15m,2017-01-01,2020-12-31,RSI,19,10395.696,3.957,137,76,0.26
ETHUSDT,15m,2017-01-01,2020-12-31,RSI,20,10070.931,0.709,117,71,0.05
ETHUSDT,15m,2017-01-01,2020-12-31,RSI,21,9814.194,-1.858,110,64,-0.15
ETHUSDT,15m,2017-01-01,2020-12-31,RSI,22,9754.599,-2.454,101,56,-0.2
ETHUSDT,15m,2017-01-01,2020-12-31,RSI,23,9438.307,-5.617,89,51,-0.45
ETHUSDT,15m,2017-01-01,2020-12-31,RSI,24,9605.754,-3.942,80,50,-0.31
ETHUSDT,15m,2017-01-01,2020-12-31,RSI,25,9358.051,-6.261,69,47,-0.47
ETHUSDT,15m,2017-01-01,2020-12-31,RSI,26,9057.408,-9.273,62,44,-0.69
ETHUSDT,15m,2017-01-01,2020-12-31,RSI,27,9296.855,-6.874,56,42,-0.5
ETHUSDT,15m,2017-01-01,2020-12-31,RSI,28,9526.577,-4.573,55,37,-0.32
ETHUSDT,15m,2017-01-01,2020-12-31,RSI,29,9523.625,-4.602,53,33,-0.32
ETHUSDT,15m,2017-01-01,2020-12-31,RSI,30,9323.852,-6.745,48,32,-0.47
