pair,timeframe,start,end,strategy,period,portofolio final value,%
ETHUSDT,1w,2017-01-01,2020-12-31,RSI,10,9945.264442743082,-0.5473555725691768
ETHUSDT,1w,2017-01-01,2020-12-31,RSI,11,10322.03564680047,3.2203564680047023
ETHUSDT,1w,2017-01-01,2020-12-31,RSI,12,10322.03564680047,3.2203564680047023
ETHUSDT,1w,2017-01-01,2020-12-31,RSI,13,11180.491986180163,11.804919861801627
ETHUSDT,1w,2017-01-01,2020-12-31,RSI,14,11311.98061852195,13.119806185219495
ETHUSDT,1w,2017-01-01,2020-12-31,RSI,15,12991.67613124598,29.916761312459805
ETHUSDT,1w,2017-01-01,2020-12-31,RSI,16,10000.0,0.0
ETHUSDT,1w,2017-01-01,2020-12-31,RSI,17,10000.0,0.0
ETHUSDT,1w,2017-01-01,2020-12-31,RSI,18,10000.0,0.0
ETHUSDT,1w,2017-01-01,2020-12-31,RSI,19,10000.0,0.0
ETHUSDT,1w,2017-01-01,2020-12-31,RSI,20,10000.0,0.0
ETHUSDT,1w,2017-01-01,2020-12-31,RSI,21,10000.0,0.0
ETHUSDT,1w,2017-01-01,2020-12-31,RSI,22,10000.0,0.0
ETHUSDT,1w,2017-01-01,2020-12-31,RSI,23,10000.0,0.0
ETHUSDT,1w,2017-01-01,2020-12-31,RSI,24,10000.0,0.0
ETHUSDT,1w,2017-01-01,2020-12-31,RSI,25,10000.0,0.0
ETHUSDT,1w,2017-01-01,2020-12-31,RSI,26,10000.0,0.0
ETHUSDT,1w,2017-01-01,2020-12-31,RSI,27,10000.0,0.0
ETHUSDT,1w,2017-01-01,2020-12-31,RSI,28,10000.0,0.0
ETHUSDT,1w,2017-01-01,2020-12-31,RSI,29,10000.0,0.0
ETHUSDT,1w,2017-01-01,2020-12-31,RSI,30,10000.0,0.0
