Pair,Timeframe,Start,End,Strategy,Period,Final value,%,Total win,Total loss,SQN
ETHUSDT,3d,2017-01-01,2020-12-31,RSI,10,10676.305,6.763,2,1,0.5
ETHUSDT,3d,2017-01-01,2020-12-31,RSI,11,9928.554,-0.714,1,1,-0.09
ETHUSDT,3d,2017-01-01,2020-12-31,RSI,12,9970.921,-0.291,1,1,-0.04
ETHUSDT,3d,2017-01-01,2020-12-31,RSI,13,9970.921,-0.291,1,1,-0.04
ETHUSDT,3d,2017-01-01,2020-12-31,RSI,14,10269.979,2.7,1,1,0.33
ETHUSDT,3d,2017-01-01,2020-12-31,RSI,15,9776.344,-2.237,0,1,0
ETHUSDT,3d,2017-01-01,2020-12-31,RSI,16,9776.344,-2.237,0,1,0
ETHUSDT,3d,2017-01-01,2020-12-31,RSI,17,9776.344,-2.237,0,1,0
ETHUSDT,3d,2017-01-01,2020-12-31,RSI,18,10237.958,2.38,1,0,0
ETHUSDT,3d,2017-01-01,2020-12-31,RSI,19,11125.741,11.257,1,0,0
ETHUSDT,3d,2017-01-01,2020-12-31,RSI,20,11125.741,11.257,1,0,0
ETHUSDT,3d,2017-01-01,2020-12-31,RSI,21,11125.741,11.257,1,0,0
ETHUSDT,3d,2017-01-01,2020-12-31,RSI,22,11247.018,12.47,1,0,0
ETHUSDT,3d,2017-01-01,2020-12-31,RSI,23,11901.404,19.014,1,0,0
ETHUSDT,3d,2017-01-01,2020-12-31,RSI,24,11951.604,19.516,1,0,0
ETHUSDT,3d,2017-01-01,2020-12-31,RSI,25,10000.0,0.0,0,0,0
ETHUSDT,3d,2017-01-01,2020-12-31,RSI,26,10000.0,0.0,0,0,0
ETHUSDT,3d,2017-01-01,2020-12-31,RSI,27,10000.0,0.0,0,0,0
ETHUSDT,3d,2017-01-01,2020-12-31,RSI,28,10000.0,0.0,0,0,0
ETHUSDT,3d,2017-01-01,2020-12-31,RSI,29,10000.0,0.0,0,0,0
ETHUSDT,3d,2017-01-01,2020-12-31,RSI,30,10000.0,0.0,0,0,0
