pair,timeframe,start,end,strategy,period,portofolio final value,%
ETHUSDT,15m,2018-03-01,2020-11-15,RSI,10,9051.62564386669,-9.483743561333103
ETHUSDT,15m,2018-03-01,2020-11-15,RSI,11,9089.862085627381,-9.10137914372619
ETHUSDT,15m,2018-03-01,2020-11-15,RSI,12,8820.873150309872,-11.791268496901285
ETHUSDT,15m,2018-03-01,2020-11-15,RSI,13,8538.025469505774,-14.619745304942262
ETHUSDT,15m,2018-03-01,2020-11-15,RSI,14,8785.09872888323,-12.149012711167707
ETHUSDT,15m,2018-03-01,2020-11-15,RSI,15,8103.036410374356,-18.969635896256438
ETHUSDT,15m,2018-03-01,2020-11-15,RSI,16,8621.277690360072,-13.787223096399284
ETHUSDT,15m,2018-03-01,2020-11-15,RSI,17,8807.30239925283,-11.926976007471694
ETHUSDT,15m,2018-03-01,2020-11-15,RSI,18,8670.058683051542,-13.299413169484579
ETHUSDT,15m,2018-03-01,2020-11-15,RSI,19,8610.279872978284,-13.897201270217154
ETHUSDT,15m,2018-03-01,2020-11-15,RSI,20,8289.562096900401,-17.104379030995986
ETHUSDT,15m,2018-03-01,2020-11-15,RSI,21,8452.95440999567,-15.470455900043307
ETHUSDT,15m,2018-03-01,2020-11-15,RSI,22,8322.909065046168,-16.770909349538325
ETHUSDT,15m,2018-03-01,2020-11-15,RSI,23,8371.190785833292,-16.288092141667075
ETHUSDT,15m,2018-03-01,2020-11-15,RSI,24,8232.917046717865,-17.67082953282135
ETHUSDT,15m,2018-03-01,2020-11-15,RSI,25,8105.899686483654,-18.941003135163463
ETHUSDT,15m,2018-03-01,2020-11-15,RSI,26,7942.945713024768,-20.570542869752316
ETHUSDT,15m,2018-03-01,2020-11-15,RSI,27,7996.80029374187,-20.031997062581304
ETHUSDT,15m,2018-03-01,2020-11-15,RSI,28,7930.637746785839,-20.69362253214161
ETHUSDT,15m,2018-03-01,2020-11-15,RSI,29,7915.661302582749,-20.84338697417251
ETHUSDT,15m,2018-03-01,2020-11-15,RSI,30,7947.6469442467405,-20.523530557532595
