pair,timeframe,start,end,strategy,period,portofolio final value,%
ETHUSDT,1d,2018-03-01,2020-11-15,RSI,10,9776.34029077853,-2.2365970922147063
ETHUSDT,1d,2018-03-01,2020-11-15,RSI,11,10023.629212756292,0.23629212756291962
ETHUSDT,1d,2018-03-01,2020-11-15,RSI,12,10148.454570039758,1.4845457003975753
ETHUSDT,1d,2018-03-01,2020-11-15,RSI,13,10294.576247617517,2.9457624761751684
ETHUSDT,1d,2018-03-01,2020-11-15,RSI,14,10701.041385169192,7.010413851691919
ETHUSDT,1d,2018-03-01,2020-11-15,RSI,15,10779.694790737158,7.796947907371578
ETHUSDT,1d,2018-03-01,2020-11-15,RSI,16,11356.8242325233,13.568242325233005
ETHUSDT,1d,2018-03-01,2020-11-15,RSI,17,11669.62279229055,16.69622792290549
ETHUSDT,1d,2018-03-01,2020-11-15,RSI,18,11943.049712763297,19.43049712763297
ETHUSDT,1d,2018-03-01,2020-11-15,RSI,19,11246.96612964166,12.469661296416598
ETHUSDT,1d,2018-03-01,2020-11-15,RSI,20,11517.597278678348,15.175972786783475
ETHUSDT,1d,2018-03-01,2020-11-15,RSI,21,11769.98698180895,17.6998698180895
ETHUSDT,1d,2018-03-01,2020-11-15,RSI,22,11777.203171662626,17.77203171662626
ETHUSDT,1d,2018-03-01,2020-11-15,RSI,23,9967.865504760235,-0.3213449523976487
ETHUSDT,1d,2018-03-01,2020-11-15,RSI,24,9966.924191186954,-0.3307580881304602
ETHUSDT,1d,2018-03-01,2020-11-15,RSI,25,9445.607092783504,-5.543929072164956
ETHUSDT,1d,2018-03-01,2020-11-15,RSI,26,9481.904214046823,-5.180957859531773
ETHUSDT,1d,2018-03-01,2020-11-15,RSI,27,9485.224017731212,-5.147759822687877
ETHUSDT,1d,2018-03-01,2020-11-15,RSI,28,9563.254927083333,-4.367450729166667
ETHUSDT,1d,2018-03-01,2020-11-15,RSI,29,9550.89182784191,-4.491081721580904
ETHUSDT,1d,2018-03-01,2020-11-15,RSI,30,9629.044486190089,-3.7095551380991125
