Pair,Timeframe,Start,End,Strategy,Period,Final value,%,Total win,Total loss,SQN
ETHUSDT,1w,2018-03-01,2020-11-15,RSI,10,9814.965,-1.85,0,1,0
ETHUSDT,1w,2018-03-01,2020-11-15,RSI,11,9945.264,-0.547,0,1,0
ETHUSDT,1w,2018-03-01,2020-11-15,RSI,12,9945.264,-0.547,0,1,0
ETHUSDT,1w,2018-03-01,2020-11-15,RSI,13,10319.585,3.196,1,0,0
ETHUSDT,1w,2018-03-01,2020-11-15,RSI,14,10399.274,3.993,1,0,0
ETHUSDT,1w,2018-03-01,2020-11-15,RSI,15,12137.049,21.37,1,0,0
ETHUSDT,1w,2018-03-01,2020-11-15,RSI,16,12137.049,21.37,1,0,0
ETHUSDT,1w,2018-03-01,2020-11-15,RSI,17,12137.049,21.37,1,0,0
ETHUSDT,1w,2018-03-01,2020-11-15,RSI,18,12991.676,29.917,1,0,0
ETHUSDT,1w,2018-03-01,2020-11-15,RSI,19,12991.676,29.917,1,0,0
ETHUSDT,1w,2018-03-01,2020-11-15,RSI,20,13396.565,33.966,1,0,0
ETHUSDT,1w,2018-03-01,2020-11-15,RSI,21,10000.0,0.0,0,0,0
ETHUSDT,1w,2018-03-01,2020-11-15,RSI,22,10000.0,0.0,0,0,0
ETHUSDT,1w,2018-03-01,2020-11-15,RSI,23,10000.0,0.0,0,0,0
ETHUSDT,1w,2018-03-01,2020-11-15,RSI,24,10000.0,0.0,0,0,0
ETHUSDT,1w,2018-03-01,2020-11-15,RSI,25,10000.0,0.0,0,0,0
ETHUSDT,1w,2018-03-01,2020-11-15,RSI,26,10000.0,0.0,0,0,0
ETHUSDT,1w,2018-03-01,2020-11-15,RSI,27,10000.0,0.0,0,0,0
ETHUSDT,1w,2018-03-01,2020-11-15,RSI,28,10000.0,0.0,0,0,0
ETHUSDT,1w,2018-03-01,2020-11-15,RSI,29,10000.0,0.0,0,0,0
ETHUSDT,1w,2018-03-01,2020-11-15,RSI,30,10000.0,0.0,0,0,0
