Pair,Timeframe,Start,End,Strategy,Period,Final value,%,Total win,Total loss,SQN
ETHUSDT,8h,2018-03-01,2020-11-15,RSI,10,8453.666,-15.463,10,11,-1.81
ETHUSDT,8h,2018-03-01,2020-11-15,RSI,11,8390.768,-16.092,8,10,-1.92
ETHUSDT,8h,2018-03-01,2020-11-15,RSI,12,8471.373,-15.286,7,8,-1.87
ETHUSDT,8h,2018-03-01,2020-11-15,RSI,13,8363.695,-16.363,4,8,-2.3
ETHUSDT,8h,2018-03-01,2020-11-15,RSI,14,8287.479,-17.125,2,8,-3.07
ETHUSDT,8h,2018-03-01,2020-11-15,RSI,15,8283.051,-17.169,2,7,-3.08
ETHUSDT,8h,2018-03-01,2020-11-15,RSI,16,8520.06,-14.799,2,7,-2.63
ETHUSDT,8h,2018-03-01,2020-11-15,RSI,17,8497.127,-15.029,1,6,-2.53
ETHUSDT,8h,2018-03-01,2020-11-15,RSI,18,8534.363,-14.656,1,6,-2.51
ETHUSDT,8h,2018-03-01,2020-11-15,RSI,19,8919.123,-10.809,2,5,-1.61
ETHUSDT,8h,2018-03-01,2020-11-15,RSI,20,9207.629,-7.924,2,5,-1.14
ETHUSDT,8h,2018-03-01,2020-11-15,RSI,21,9259.039,-7.41,2,5,-1.04
ETHUSDT,8h,2018-03-01,2020-11-15,RSI,22,9467.263,-5.327,3,3,-0.66
ETHUSDT,8h,2018-03-01,2020-11-15,RSI,23,9590.524,-4.095,3,3,-0.5
ETHUSDT,8h,2018-03-01,2020-11-15,RSI,24,9712.759,-2.872,3,3,-0.36
ETHUSDT,8h,2018-03-01,2020-11-15,RSI,25,10046.823,0.468,3,3,0.05
ETHUSDT,8h,2018-03-01,2020-11-15,RSI,26,9798.964,-2.01,3,2,-0.23
ETHUSDT,8h,2018-03-01,2020-11-15,RSI,27,10051.036,0.51,3,2,0.06
ETHUSDT,8h,2018-03-01,2020-11-15,RSI,28,10051.036,0.51,3,2,0.06
ETHUSDT,8h,2018-03-01,2020-11-15,RSI,29,10509.577,5.096,3,2,0.48
ETHUSDT,8h,2018-03-01,2020-11-15,RSI,30,10114.684,1.147,1,3,0.11
