data processed,parameter,portofolio final value,%
BTCUSDT-2017-2020-12h,10,10491.82806075815,4.918280607581491
BTCUSDT-2017-2020-12h,11,10193.162654454196,1.9316265445419596
BTCUSDT-2017-2020-12h,12,10263.072164484998,2.630721644849982
BTCUSDT-2017-2020-12h,13,9868.686239754898,-1.3131376024510246
BTCUSDT-2017-2020-12h,14,9964.724889549527,-0.35275110450473224
BTCUSDT-2017-2020-12h,15,10046.505711270585,0.4650571127058538
BTCUSDT-2017-2020-12h,16,10174.544952988474,1.7454495298847361
BTCUSDT-2017-2020-12h,17,10267.880886151357,2.6788088615135712
BTCUSDT-2017-2020-12h,18,11159.50564656375,11.595056465637498
BTCUSDT-2017-2020-12h,19,10971.27816123607,9.712781612360704
BTCUSDT-2017-2020-12h,20,11246.567936520683,12.465679365206833
BTCUSDT-2017-2020-12h,21,11413.182442285077,14.13182442285077
BTCUSDT-2017-2020-12h,22,11170.012343475018,11.700123434750186
BTCUSDT-2017-2020-12h,23,11204.110356211406,12.041103562114058
BTCUSDT-2017-2020-12h,24,11216.377012893336,12.163770128933356
BTCUSDT-2017-2020-12h,25,10611.63377356516,6.116337735651596
BTCUSDT-2017-2020-12h,26,10292.947044587307,2.9294704458730667
BTCUSDT-2017-2020-12h,27,10319.58141505436,3.1958141505435926
BTCUSDT-2017-2020-12h,28,10362.630850560156,3.626308505601555
BTCUSDT-2017-2020-12h,29,10387.65924221266,3.8765924221265955
BTCUSDT-2017-2020-12h,30,10397.390940064803,3.9739094006480262
