data processed,parameter,portofolio final value,%
BTCUSDT-2017-2020-1w,10,11519.086260624505,15.190862606245044
BTCUSDT-2017-2020-1w,11,11637.561192911202,16.37561192911202
BTCUSDT-2017-2020-1w,12,10703.691150282199,7.036911502821985
BTCUSDT-2017-2020-1w,13,10963.381341862769,9.633813418627687
BTCUSDT-2017-2020-1w,14,11156.80481932189,11.568048193218893
BTCUSDT-2017-2020-1w,15,10000.0,0.0
BTCUSDT-2017-2020-1w,16,10000.0,0.0
BTCUSDT-2017-2020-1w,17,10000.0,0.0
BTCUSDT-2017-2020-1w,18,10000.0,0.0
BTCUSDT-2017-2020-1w,19,10000.0,0.0
BTCUSDT-2017-2020-1w,20,10000.0,0.0
BTCUSDT-2017-2020-1w,21,10000.0,0.0
BTCUSDT-2017-2020-1w,22,10000.0,0.0
BTCUSDT-2017-2020-1w,23,10000.0,0.0
BTCUSDT-2017-2020-1w,24,10000.0,0.0
BTCUSDT-2017-2020-1w,25,10000.0,0.0
BTCUSDT-2017-2020-1w,26,10000.0,0.0
BTCUSDT-2017-2020-1w,27,10000.0,0.0
BTCUSDT-2017-2020-1w,28,10000.0,0.0
BTCUSDT-2017-2020-1w,29,10000.0,0.0
BTCUSDT-2017-2020-1w,30,10000.0,0.0
