data processed,parameter,portofolio final value,%
BTCUSDT-2017-2020-30m,10,9504.995110048165,-4.950048899518351
BTCUSDT-2017-2020-30m,11,9632.489314800963,-3.6751068519903676
BTCUSDT-2017-2020-30m,12,9768.115100185767,-2.31884899814233
BTCUSDT-2017-2020-30m,13,9453.051235321167,-5.4694876467883295
BTCUSDT-2017-2020-30m,14,9827.071289111913,-1.7292871088808714
BTCUSDT-2017-2020-30m,15,9610.794199812455,-3.892058001875448
BTCUSDT-2017-2020-30m,16,9745.157636897806,-2.548423631021942
BTCUSDT-2017-2020-30m,17,9850.157385236047,-1.4984261476395295
BTCUSDT-2017-2020-30m,18,9745.36315580698,-2.546368441930208
BTCUSDT-2017-2020-30m,19,9898.757905437526,-1.0124209456247444
BTCUSDT-2017-2020-30m,20,9456.36617770899,-5.436338222910108
BTCUSDT-2017-2020-30m,21,9155.6187354438,-8.443812645561993
BTCUSDT-2017-2020-30m,22,9349.000457512318,-6.509995424876816
BTCUSDT-2017-2020-30m,23,9397.891264374932,-6.021087356250683
BTCUSDT-2017-2020-30m,24,9445.691691225957,-5.543083087740433
BTCUSDT-2017-2020-30m,25,9353.882003100702,-6.461179968992983
BTCUSDT-2017-2020-30m,26,9122.251908380535,-8.777480916194653
BTCUSDT-2017-2020-30m,27,9326.713851986886,-6.732861480131142
BTCUSDT-2017-2020-30m,28,9310.300320343344,-6.8969967965665635
BTCUSDT-2017-2020-30m,29,9382.747666644444,-6.1725233335555645
BTCUSDT-2017-2020-30m,30,9529.210894069363,-4.707891059306366
