data processed,parameter,portofolio final value,%
ETHUSDT-2017-2020-1w,10,9945.264442743082,-0.5473555725691768
ETHUSDT-2017-2020-1w,11,10322.03564680047,3.2203564680047023
ETHUSDT-2017-2020-1w,12,10322.03564680047,3.2203564680047023
ETHUSDT-2017-2020-1w,13,11180.491986180163,11.804919861801627
ETHUSDT-2017-2020-1w,14,11311.98061852195,13.119806185219495
ETHUSDT-2017-2020-1w,15,12991.67613124598,29.916761312459805
ETHUSDT-2017-2020-1w,16,10000.0,0.0
ETHUSDT-2017-2020-1w,17,10000.0,0.0
ETHUSDT-2017-2020-1w,18,10000.0,0.0
ETHUSDT-2017-2020-1w,19,10000.0,0.0
ETHUSDT-2017-2020-1w,20,10000.0,0.0
ETHUSDT-2017-2020-1w,21,10000.0,0.0
ETHUSDT-2017-2020-1w,22,10000.0,0.0
ETHUSDT-2017-2020-1w,23,10000.0,0.0
ETHUSDT-2017-2020-1w,24,10000.0,0.0
ETHUSDT-2017-2020-1w,25,10000.0,0.0
ETHUSDT-2017-2020-1w,26,10000.0,0.0
ETHUSDT-2017-2020-1w,27,10000.0,0.0
ETHUSDT-2017-2020-1w,28,10000.0,0.0
ETHUSDT-2017-2020-1w,29,10000.0,0.0
ETHUSDT-2017-2020-1w,30,10000.0,0.0
