data processed,parameter,portofolio final value,%
ETHUSDT-2017-2020-6h,10,9315.605094037592,-6.843949059624083
ETHUSDT-2017-2020-6h,11,9109.81796182995,-8.90182038170051
ETHUSDT-2017-2020-6h,12,8944.495569650577,-10.555044303494231
ETHUSDT-2017-2020-6h,13,8826.507033755706,-11.734929662442937
ETHUSDT-2017-2020-6h,14,9278.398532374595,-7.216014676254054
ETHUSDT-2017-2020-6h,15,9023.030682183338,-9.769693178166618
ETHUSDT-2017-2020-6h,16,8548.810940103418,-14.51189059896582
ETHUSDT-2017-2020-6h,17,8376.262804765094,-16.237371952349058
ETHUSDT-2017-2020-6h,18,8848.380635229547,-11.516193647704531
ETHUSDT-2017-2020-6h,19,9504.766292935501,-4.952337070644989
ETHUSDT-2017-2020-6h,20,9639.139002747166,-3.6086099725283387
ETHUSDT-2017-2020-6h,21,9149.090593346082,-8.509094066539182
ETHUSDT-2017-2020-6h,22,9066.306551636671,-9.336934483633286
ETHUSDT-2017-2020-6h,23,9258.89485971045,-7.411051402895501
ETHUSDT-2017-2020-6h,24,9221.137123173876,-7.788628768261242
ETHUSDT-2017-2020-6h,25,9307.601692804003,-6.923983071959975
ETHUSDT-2017-2020-6h,26,9648.387422623984,-3.5161257737601592
ETHUSDT-2017-2020-6h,27,10080.933485443402,0.8093348544340188
ETHUSDT-2017-2020-6h,28,9907.171250445315,-0.928287495546847
ETHUSDT-2017-2020-6h,29,9953.245743990647,-0.4675425600935341
ETHUSDT-2017-2020-6h,30,10297.300726798992,2.973007267989924
