Pair,Timeframe,Start,End,Strategy,Period,Final value,%,Total win,Total loss,SQN
BTCUSDT,1d,2017-01-01,2020-12-31,SMA,10,13197.046,27.959,33,63,1.56
BTCUSDT,1d,2017-01-01,2020-12-31,SMA,11,13409.099,30.332,28,60,1.69
BTCUSDT,1d,2017-01-01,2020-12-31,SMA,12,13507.289,30.967,28,58,1.72
BTCUSDT,1d,2017-01-01,2020-12-31,SMA,13,13830.153,34.425,26,55,1.86
BTCUSDT,1d,2017-01-01,2020-12-31,SMA,14,13834.622,34.468,27,52,1.87
BTCUSDT,1d,2017-01-01,2020-12-31,SMA,15,13560.674,31.485,25,52,1.73
BTCUSDT,1d,2017-01-01,2020-12-31,SMA,16,13772.723,33.541,24,50,1.95
BTCUSDT,1d,2017-01-01,2020-12-31,SMA,17,13945.249,35.214,26,44,2.04
BTCUSDT,1d,2017-01-01,2020-12-31,SMA,18,14171.604,37.408,22,40,2.04
BTCUSDT,1d,2017-01-01,2020-12-31,SMA,19,14432.897,39.942,20,40,1.95
BTCUSDT,1d,2017-01-01,2020-12-31,SMA,20,14092.356,36.64,19,43,1.78
BTCUSDT,1d,2017-01-01,2020-12-31,SMA,21,14230.485,37.979,18,41,1.92
BTCUSDT,1d,2017-01-01,2020-12-31,SMA,22,14599.149,41.554,17,39,2.02
BTCUSDT,1d,2017-01-01,2020-12-31,SMA,23,14351.926,39.157,17,39,1.98
BTCUSDT,1d,2017-01-01,2020-12-31,SMA,24,14445.355,40.063,15,42,2.02
BTCUSDT,1d,2017-01-01,2020-12-31,SMA,25,14051.349,36.242,14,38,1.88
BTCUSDT,1d,2017-01-01,2020-12-31,SMA,26,13943.959,35.201,12,39,1.83
BTCUSDT,1d,2017-01-01,2020-12-31,SMA,27,13925.553,35.023,12,40,1.84
BTCUSDT,1d,2017-01-01,2020-12-31,SMA,28,13856.673,34.355,12,33,1.82
BTCUSDT,1d,2017-01-01,2020-12-31,SMA,29,14017.683,35.916,12,31,1.88
BTCUSDT,1d,2017-01-01,2020-12-31,SMA,30,14024.32,35.98,13,33,1.88
