Pair,Timeframe,Start,End,Strategy,Period,Final value,%,Total win,Total loss,SQN
BTCUSDT,1w,2018-03-01,2020-11-15,SMA,10,11659.778,12.079,4,7,0.8
BTCUSDT,1w,2018-03-01,2020-11-15,SMA,11,11694.245,12.411,4,7,0.82
BTCUSDT,1w,2018-03-01,2020-11-15,SMA,12,12236.93,17.627,4,3,1.13
BTCUSDT,1w,2018-03-01,2020-11-15,SMA,13,11843.513,13.845,2,4,0.94
BTCUSDT,1w,2018-03-01,2020-11-15,SMA,14,12122.932,12.315,1,4,0.84
BTCUSDT,1w,2018-03-01,2020-11-15,SMA,15,12045.252,11.595,1,4,0.81
BTCUSDT,1w,2018-03-01,2020-11-15,SMA,16,11971.241,10.91,1,4,0.8
BTCUSDT,1w,2018-03-01,2020-11-15,SMA,17,12094.355,12.05,1,3,0.86
BTCUSDT,1w,2018-03-01,2020-11-15,SMA,18,11980.328,10.994,1,3,0.79
BTCUSDT,1w,2018-03-01,2020-11-15,SMA,19,11624.457,7.697,1,2,0.85
BTCUSDT,1w,2018-03-01,2020-11-15,SMA,20,11624.457,7.697,1,2,0.85
BTCUSDT,1w,2018-03-01,2020-11-15,SMA,21,11566.736,7.162,1,2,0.83
BTCUSDT,1w,2018-03-01,2020-11-15,SMA,22,11737.255,8.742,1,1,1.18
BTCUSDT,1w,2018-03-01,2020-11-15,SMA,23,11304.134,4.729,1,1,1.05
BTCUSDT,1w,2018-03-01,2020-11-15,SMA,24,11314.799,4.828,1,1,1.09
BTCUSDT,1w,2018-03-01,2020-11-15,SMA,25,11253.427,4.259,1,2,0.84
BTCUSDT,1w,2018-03-01,2020-11-15,SMA,26,11253.427,4.259,1,2,0.84
BTCUSDT,1w,2018-03-01,2020-11-15,SMA,27,11253.427,4.259,1,2,0.84
BTCUSDT,1w,2018-03-01,2020-11-15,SMA,28,11253.427,4.259,1,2,0.84
BTCUSDT,1w,2018-03-01,2020-11-15,SMA,29,11234.912,4.088,1,2,0.8
BTCUSDT,1w,2018-03-01,2020-11-15,SMA,30,11234.912,4.088,1,2,0.8
