Pair,Timeframe,Start,End,Strategy,Period,Final value,%,Total win,Total loss,SQN
BTCUSDT,30m,2018-03-01,2020-11-15,SMA,10,6640.169,-33.662,1009,3772,-5.69
BTCUSDT,30m,2018-03-01,2020-11-15,SMA,11,6667.962,-33.351,934,3604,-5.69
BTCUSDT,30m,2018-03-01,2020-11-15,SMA,12,6628.918,-33.741,870,3439,-5.73
BTCUSDT,30m,2018-03-01,2020-11-15,SMA,13,6637.266,-33.658,811,3360,-5.46
BTCUSDT,30m,2018-03-01,2020-11-15,SMA,14,6895.473,-31.077,767,3247,-5.03
BTCUSDT,30m,2018-03-01,2020-11-15,SMA,15,7084.793,-29.185,727,3110,-4.59
BTCUSDT,30m,2018-03-01,2020-11-15,SMA,16,7165.903,-28.374,678,3036,-4.42
BTCUSDT,30m,2018-03-01,2020-11-15,SMA,17,7508.227,-24.952,648,2906,-3.72
BTCUSDT,30m,2018-03-01,2020-11-15,SMA,18,7534.258,-24.692,615,2859,-3.65
BTCUSDT,30m,2018-03-01,2020-11-15,SMA,19,7495.991,-25.075,588,2802,-3.72
BTCUSDT,30m,2018-03-01,2020-11-15,SMA,20,7627.775,-23.757,563,2745,-3.48
BTCUSDT,30m,2018-03-01,2020-11-15,SMA,21,7748.343,-22.552,544,2662,-3.27
BTCUSDT,30m,2018-03-01,2020-11-15,SMA,22,7919.108,-20.845,537,2583,-3.0
BTCUSDT,30m,2018-03-01,2020-11-15,SMA,23,7929.875,-20.738,515,2516,-3.02
BTCUSDT,30m,2018-03-01,2020-11-15,SMA,24,7888.629,-21.15,501,2466,-3.07
BTCUSDT,30m,2018-03-01,2020-11-15,SMA,25,7965.34,-20.383,488,2407,-2.93
BTCUSDT,30m,2018-03-01,2020-11-15,SMA,26,8112.653,-18.911,473,2382,-2.68
BTCUSDT,30m,2018-03-01,2020-11-15,SMA,27,8238.248,-17.656,469,2302,-2.49
BTCUSDT,30m,2018-03-01,2020-11-15,SMA,28,8534.857,-14.691,458,2222,-2.03
BTCUSDT,30m,2018-03-01,2020-11-15,SMA,29,8561.462,-14.425,445,2197,-2.0
BTCUSDT,30m,2018-03-01,2020-11-15,SMA,30,8739.77,-12.643,441,2139,-1.75
