Pair,Timeframe,Start,End,Strategy,Period,Final value,%,Total win,Total loss,SQN
BTCUSDT,4h,2018-03-01,2020-11-15,SMA,10,10634.444,6.344,139,401,0.79
BTCUSDT,4h,2018-03-01,2020-11-15,SMA,11,10634.879,6.349,128,374,0.79
BTCUSDT,4h,2018-03-01,2020-11-15,SMA,12,10754.922,7.549,120,343,0.94
BTCUSDT,4h,2018-03-01,2020-11-15,SMA,13,10975.2,9.752,105,329,1.16
BTCUSDT,4h,2018-03-01,2020-11-15,SMA,14,11403.058,14.031,99,303,1.62
BTCUSDT,4h,2018-03-01,2020-11-15,SMA,15,11511.872,15.119,94,290,1.66
BTCUSDT,4h,2018-03-01,2020-11-15,SMA,16,11422.625,14.226,93,272,1.6
BTCUSDT,4h,2018-03-01,2020-11-15,SMA,17,11526.006,15.26,87,266,1.7
BTCUSDT,4h,2018-03-01,2020-11-15,SMA,18,11685.979,16.86,84,260,1.84
BTCUSDT,4h,2018-03-01,2020-11-15,SMA,19,11413.848,14.243,84,251,1.61
BTCUSDT,4h,2018-03-01,2020-11-15,SMA,20,11384.027,13.944,79,250,1.58
BTCUSDT,4h,2018-03-01,2020-11-15,SMA,21,11407.644,14.181,73,245,1.6
BTCUSDT,4h,2018-03-01,2020-11-15,SMA,22,11317.151,13.275,68,237,1.57
BTCUSDT,4h,2018-03-01,2020-11-15,SMA,23,11242.474,12.527,70,225,1.53
BTCUSDT,4h,2018-03-01,2020-11-15,SMA,24,11273.097,12.834,68,214,1.57
BTCUSDT,4h,2018-03-01,2020-11-15,SMA,25,11402.449,14.129,68,202,1.73
BTCUSDT,4h,2018-03-01,2020-11-15,SMA,26,11464.806,14.181,64,189,1.62
BTCUSDT,4h,2018-03-01,2020-11-15,SMA,27,11317.013,12.709,64,189,1.48
BTCUSDT,4h,2018-03-01,2020-11-15,SMA,28,11309.447,12.713,63,181,1.49
BTCUSDT,4h,2018-03-01,2020-11-15,SMA,29,11275.068,12.37,62,178,1.46
BTCUSDT,4h,2018-03-01,2020-11-15,SMA,30,11239.44,12.015,59,172,1.44
