pair,timeframe,start,end,strategy,period,portofolio final value,%
BTCUSDT,6h,2018-03-01,2020-11-15,SMA,10,11447.58441115975,14.475844111597509
BTCUSDT,6h,2018-03-01,2020-11-15,SMA,11,11401.97113718022,14.019711371802204
BTCUSDT,6h,2018-03-01,2020-11-15,SMA,12,11430.460069037763,14.304600690377628
BTCUSDT,6h,2018-03-01,2020-11-15,SMA,13,11576.82483229534,15.768248322953404
BTCUSDT,6h,2018-03-01,2020-11-15,SMA,14,11439.063007478122,14.39063007478122
BTCUSDT,6h,2018-03-01,2020-11-15,SMA,15,11523.119004230199,15.231190042301987
BTCUSDT,6h,2018-03-01,2020-11-15,SMA,16,11486.77179537318,14.867717953731807
BTCUSDT,6h,2018-03-01,2020-11-15,SMA,17,11259.085659128687,12.590856591286864
BTCUSDT,6h,2018-03-01,2020-11-15,SMA,18,11232.40938617661,12.324093861766105
BTCUSDT,6h,2018-03-01,2020-11-15,SMA,19,11233.387879298942,12.333878792989417
BTCUSDT,6h,2018-03-01,2020-11-15,SMA,20,11109.002032066737,11.090020320667373
BTCUSDT,6h,2018-03-01,2020-11-15,SMA,21,11114.031259643361,11.140312596433615
BTCUSDT,6h,2018-03-01,2020-11-15,SMA,22,11085.234258020595,10.85234258020595
BTCUSDT,6h,2018-03-01,2020-11-15,SMA,23,11217.944149446108,12.179441494461079
BTCUSDT,6h,2018-03-01,2020-11-15,SMA,24,11509.18034970565,15.0918034970565
BTCUSDT,6h,2018-03-01,2020-11-15,SMA,25,11496.191159639147,14.961911596391475
BTCUSDT,6h,2018-03-01,2020-11-15,SMA,26,11666.904166759856,16.66904166759856
BTCUSDT,6h,2018-03-01,2020-11-15,SMA,27,11751.695872606699,17.516958726066985
BTCUSDT,6h,2018-03-01,2020-11-15,SMA,28,11828.019491112733,18.280194911127328
BTCUSDT,6h,2018-03-01,2020-11-15,SMA,29,11949.700161099796,19.49700161099796
BTCUSDT,6h,2018-03-01,2020-11-15,SMA,30,11901.098566749257,19.01098566749257
