pair,timeframe,start,end,strategy,period,portofolio final value,%
ETHUSDT,8h,2017-01-01,2020-12-31,SMA,10,14565.665248984398,45.65665248984398
ETHUSDT,8h,2017-01-01,2020-12-31,SMA,11,14338.647882294988,43.38647882294989
ETHUSDT,8h,2017-01-01,2020-12-31,SMA,12,14145.836452284131,41.458364522841315
ETHUSDT,8h,2017-01-01,2020-12-31,SMA,13,14274.033906954208,42.740339069542074
ETHUSDT,8h,2017-01-01,2020-12-31,SMA,14,13551.217038712066,35.51217038712066
ETHUSDT,8h,2017-01-01,2020-12-31,SMA,15,14124.092761169797,41.24092761169797
ETHUSDT,8h,2017-01-01,2020-12-31,SMA,16,13895.54878234796,38.955487823479594
ETHUSDT,8h,2017-01-01,2020-12-31,SMA,17,13358.30164238684,33.58301642386839
ETHUSDT,8h,2017-01-01,2020-12-31,SMA,18,13543.994505281193,35.43994505281193
ETHUSDT,8h,2017-01-01,2020-12-31,SMA,19,13303.429864826294,33.03429864826294
ETHUSDT,8h,2017-01-01,2020-12-31,SMA,20,13373.165479444651,33.73165479444651
ETHUSDT,8h,2017-01-01,2020-12-31,SMA,21,13082.834904365587,30.828349043655873
ETHUSDT,8h,2017-01-01,2020-12-31,SMA,22,12878.973716033108,28.78973716033108
ETHUSDT,8h,2017-01-01,2020-12-31,SMA,23,13265.519690902527,32.65519690902527
ETHUSDT,8h,2017-01-01,2020-12-31,SMA,24,13331.054897443562,33.31054897443562
ETHUSDT,8h,2017-01-01,2020-12-31,SMA,25,13140.894396917964,31.40894396917964
ETHUSDT,8h,2017-01-01,2020-12-31,SMA,26,13576.890182499603,35.76890182499603
ETHUSDT,8h,2017-01-01,2020-12-31,SMA,27,13830.102086816714,38.30102086816714
ETHUSDT,8h,2017-01-01,2020-12-31,SMA,28,13662.669085316158,36.626690853161584
ETHUSDT,8h,2017-01-01,2020-12-31,SMA,29,13853.520046536598,38.535200465365975
ETHUSDT,8h,2017-01-01,2020-12-31,SMA,30,13654.527668094302,36.545276680943026
