Pair,Timeframe,Start,End,Strategy,Period,Final value,%,Total win,Total loss,SQN
ETHUSDT,15m,2018-03-01,2020-11-15,SMA,10,5762.809,-42.372,2116,6896,-5.47
ETHUSDT,15m,2018-03-01,2020-11-15,SMA,11,5805.425,-41.946,1984,6576,-5.51
ETHUSDT,15m,2018-03-01,2020-11-15,SMA,12,6113.249,-38.868,1872,6316,-4.94
ETHUSDT,15m,2018-03-01,2020-11-15,SMA,13,6336.881,-36.631,1738,6064,-4.52
ETHUSDT,15m,2018-03-01,2020-11-15,SMA,14,6400.621,-35.994,1660,5876,-4.47
ETHUSDT,15m,2018-03-01,2020-11-15,SMA,15,6744.435,-32.556,1579,5662,-3.92
ETHUSDT,15m,2018-03-01,2020-11-15,SMA,16,6867.443,-31.326,1496,5507,-3.77
ETHUSDT,15m,2018-03-01,2020-11-15,SMA,17,7009.448,-29.906,1451,5321,-3.58
ETHUSDT,15m,2018-03-01,2020-11-15,SMA,18,7385.977,-26.149,1372,5148,-3.07
ETHUSDT,15m,2018-03-01,2020-11-15,SMA,19,7431.024,-25.699,1321,5026,-3.07
ETHUSDT,15m,2018-03-01,2020-11-15,SMA,20,7485.753,-25.177,1266,4887,-2.97
ETHUSDT,15m,2018-03-01,2020-11-15,SMA,21,7394.228,-26.092,1219,4799,-3.07
ETHUSDT,15m,2018-03-01,2020-11-15,SMA,22,7371.186,-26.322,1177,4692,-3.09
ETHUSDT,15m,2018-03-01,2020-11-15,SMA,23,7290.828,-27.126,1131,4666,-3.26
ETHUSDT,15m,2018-03-01,2020-11-15,SMA,24,7338.319,-26.651,1082,4590,-3.19
ETHUSDT,15m,2018-03-01,2020-11-15,SMA,25,7266.734,-27.366,1055,4482,-3.32
ETHUSDT,15m,2018-03-01,2020-11-15,SMA,26,7384.771,-26.187,1034,4392,-3.17
ETHUSDT,15m,2018-03-01,2020-11-15,SMA,27,7588.828,-24.147,1017,4297,-2.91
ETHUSDT,15m,2018-03-01,2020-11-15,SMA,28,7791.966,-22.117,988,4191,-2.62
ETHUSDT,15m,2018-03-01,2020-11-15,SMA,29,7720.93,-22.827,949,4120,-2.69
ETHUSDT,15m,2018-03-01,2020-11-15,SMA,30,7723.114,-22.805,915,4048,-2.7
