Pair,Timeframe,Start,End,Strategy,Period,Final value,%,Total win,Total loss,SQN
ETHUSDT,1d,2018-03-01,2020-11-15,SMA,10,11878.431,17.09,18,64,1.19
ETHUSDT,1d,2018-03-01,2020-11-15,SMA,11,11954.213,17.837,18,59,1.21
ETHUSDT,1d,2018-03-01,2020-11-15,SMA,12,12039.585,18.679,16,52,1.27
ETHUSDT,1d,2018-03-01,2020-11-15,SMA,13,11822.196,16.536,18,51,1.11
ETHUSDT,1d,2018-03-01,2020-11-15,SMA,14,11378.664,12.164,17,48,0.82
ETHUSDT,1d,2018-03-01,2020-11-15,SMA,15,11407.675,12.45,15,46,0.85
ETHUSDT,1d,2018-03-01,2020-11-15,SMA,16,11350.786,11.889,16,42,0.93
ETHUSDT,1d,2018-03-01,2020-11-15,SMA,17,11719.409,15.523,14,42,1.03
ETHUSDT,1d,2018-03-01,2020-11-15,SMA,18,12039.761,18.681,13,37,1.26
ETHUSDT,1d,2018-03-01,2020-11-15,SMA,19,12263.597,20.887,13,37,1.41
ETHUSDT,1d,2018-03-01,2020-11-15,SMA,20,12570.954,23.917,15,30,1.62
ETHUSDT,1d,2018-03-01,2020-11-15,SMA,21,12700.418,25.193,13,28,1.67
ETHUSDT,1d,2018-03-01,2020-11-15,SMA,22,12232.306,20.579,11,31,1.49
ETHUSDT,1d,2018-03-01,2020-11-15,SMA,23,12014.178,18.428,11,31,1.47
ETHUSDT,1d,2018-03-01,2020-11-15,SMA,24,11719.963,15.039,11,30,1.22
ETHUSDT,1d,2018-03-01,2020-11-15,SMA,25,11791.206,15.738,11,33,1.28
ETHUSDT,1d,2018-03-01,2020-11-15,SMA,26,11779.051,15.619,12,31,1.28
ETHUSDT,1d,2018-03-01,2020-11-15,SMA,27,11741.542,14.415,10,29,1.18
ETHUSDT,1d,2018-03-01,2020-11-15,SMA,28,11791.097,14.898,10,29,1.26
ETHUSDT,1d,2018-03-01,2020-11-15,SMA,29,11932.64,16.277,10,26,1.38
ETHUSDT,1d,2018-03-01,2020-11-15,SMA,30,11737.899,14.379,10,27,1.28
