Pair,Timeframe,Start,End,Strategy,Period,Final value,%,Total win,Total loss,SQN
ETHUSDT,1w,2018-03-01,2020-11-15,SMA,10,10317.419,2.116,2,6,0.18
ETHUSDT,1w,2018-03-01,2020-11-15,SMA,11,10296.82,1.912,2,7,0.16
ETHUSDT,1w,2018-03-01,2020-11-15,SMA,12,10997.307,8.845,2,3,0.79
ETHUSDT,1w,2018-03-01,2020-11-15,SMA,13,11099.06,8.845,2,3,0.79
ETHUSDT,1w,2018-03-01,2020-11-15,SMA,14,11264.198,0.896,1,3,0.11
ETHUSDT,1w,2018-03-01,2020-11-15,SMA,15,11532.339,3.298,1,3,0.46
ETHUSDT,1w,2018-03-01,2020-11-15,SMA,16,11981.802,4.293,1,1,0.62
ETHUSDT,1w,2018-03-01,2020-11-15,SMA,17,11884.581,3.447,1,1,0.55
ETHUSDT,1w,2018-03-01,2020-11-15,SMA,18,11820.717,2.891,1,1,0.49
ETHUSDT,1w,2018-03-01,2020-11-15,SMA,19,11820.717,2.891,1,1,0.49
ETHUSDT,1w,2018-03-01,2020-11-15,SMA,20,11749.602,2.272,1,2,0.39
ETHUSDT,1w,2018-03-01,2020-11-15,SMA,21,11818.073,2.868,1,1,0.49
ETHUSDT,1w,2018-03-01,2020-11-15,SMA,22,11603.58,1.001,1,1,0.22
ETHUSDT,1w,2018-03-01,2020-11-15,SMA,23,11603.58,1.001,1,1,0.22
ETHUSDT,1w,2018-03-01,2020-11-15,SMA,24,11507.714,0.167,1,1,0.03
ETHUSDT,1w,2018-03-01,2020-11-15,SMA,25,11220.213,-2.336,1,1,-0.72
ETHUSDT,1w,2018-03-01,2020-11-15,SMA,26,11220.213,-2.336,1,1,-0.72
ETHUSDT,1w,2018-03-01,2020-11-15,SMA,27,11220.213,-2.336,1,1,-0.72
ETHUSDT,1w,2018-03-01,2020-11-15,SMA,28,10996.594,-4.282,1,2,-1.3
ETHUSDT,1w,2018-03-01,2020-11-15,SMA,29,10996.594,-4.282,1,2,-1.3
ETHUSDT,1w,2018-03-01,2020-11-15,SMA,30,10948.058,-4.705,1,2,-1.6
