pair,timeframe,start,end,strategy,period,portofolio final value,%
ETHUSDT,30m,2018-03-01,2020-11-15,SMA,10,7634.019625886124,-23.659803741138756
ETHUSDT,30m,2018-03-01,2020-11-15,SMA,11,7651.765913006589,-23.482340869934117
ETHUSDT,30m,2018-03-01,2020-11-15,SMA,12,7765.569610283347,-22.34430389716653
ETHUSDT,30m,2018-03-01,2020-11-15,SMA,13,8060.796326693467,-19.392036733065336
ETHUSDT,30m,2018-03-01,2020-11-15,SMA,14,8314.927120593562,-16.85072879406438
ETHUSDT,30m,2018-03-01,2020-11-15,SMA,15,8202.436248321941,-17.97563751678059
ETHUSDT,30m,2018-03-01,2020-11-15,SMA,16,8467.421475728554,-15.325785242714465
ETHUSDT,30m,2018-03-01,2020-11-15,SMA,17,8446.116575819397,-15.538834241806034
ETHUSDT,30m,2018-03-01,2020-11-15,SMA,18,8476.137603619987,-15.238623963800126
ETHUSDT,30m,2018-03-01,2020-11-15,SMA,19,8551.495070629499,-14.485049293705016
ETHUSDT,30m,2018-03-01,2020-11-15,SMA,20,8628.520861386176,-13.71479138613824
ETHUSDT,30m,2018-03-01,2020-11-15,SMA,21,8535.716121329966,-14.642838786700342
ETHUSDT,30m,2018-03-01,2020-11-15,SMA,22,8783.17316108457,-12.16826838915429
ETHUSDT,30m,2018-03-01,2020-11-15,SMA,23,8936.962024160835,-10.630379758391646
ETHUSDT,30m,2018-03-01,2020-11-15,SMA,24,9103.393909869334,-8.966060901306665
ETHUSDT,30m,2018-03-01,2020-11-15,SMA,25,9017.411178727014,-9.825888212729861
ETHUSDT,30m,2018-03-01,2020-11-15,SMA,26,9072.96103915494,-9.270389608450605
ETHUSDT,30m,2018-03-01,2020-11-15,SMA,27,9106.600728739188,-8.933992712608124
ETHUSDT,30m,2018-03-01,2020-11-15,SMA,28,9053.504805458046,-9.464951945419543
ETHUSDT,30m,2018-03-01,2020-11-15,SMA,29,9077.913169293468,-9.22086830706532
ETHUSDT,30m,2018-03-01,2020-11-15,SMA,30,9297.25059824317,-7.027494017568296
