Pair,Timeframe,Start,End,Strategy,Period,Final value,%,Total win,Total loss,SQN
ETHUSDT,6h,2018-03-01,2020-11-15,SMA,10,12397.067,23.971,97,224,2.18
ETHUSDT,6h,2018-03-01,2020-11-15,SMA,11,12579.214,25.792,91,207,2.35
ETHUSDT,6h,2018-03-01,2020-11-15,SMA,12,12387.524,23.875,87,209,2.21
ETHUSDT,6h,2018-03-01,2020-11-15,SMA,13,11949.283,19.493,79,206,1.82
ETHUSDT,6h,2018-03-01,2020-11-15,SMA,14,11687.328,16.873,79,196,1.62
ETHUSDT,6h,2018-03-01,2020-11-15,SMA,15,11751.176,17.512,65,189,1.54
ETHUSDT,6h,2018-03-01,2020-11-15,SMA,16,11665.48,16.655,62,196,1.53
ETHUSDT,6h,2018-03-01,2020-11-15,SMA,17,11773.089,17.731,62,194,1.6
ETHUSDT,6h,2018-03-01,2020-11-15,SMA,18,12065.271,20.653,61,182,1.69
ETHUSDT,6h,2018-03-01,2020-11-15,SMA,19,12108.535,21.087,59,181,1.72
ETHUSDT,6h,2018-03-01,2020-11-15,SMA,20,12224.148,20.415,53,173,1.68
ETHUSDT,6h,2018-03-01,2020-11-15,SMA,21,12581.096,23.931,53,156,1.96
ETHUSDT,6h,2018-03-01,2020-11-15,SMA,22,12584.443,23.964,53,153,1.96
ETHUSDT,6h,2018-03-01,2020-11-15,SMA,23,12338.537,23.429,51,152,1.84
ETHUSDT,6h,2018-03-01,2020-11-15,SMA,24,12292.563,22.969,49,146,1.7
ETHUSDT,6h,2018-03-01,2020-11-15,SMA,25,12167.348,19.855,40,149,1.5
ETHUSDT,6h,2018-03-01,2020-11-15,SMA,26,12292.418,21.087,42,138,1.56
ETHUSDT,6h,2018-03-01,2020-11-15,SMA,27,12013.919,18.344,39,142,1.36
ETHUSDT,6h,2018-03-01,2020-11-15,SMA,28,11871.311,16.939,36,140,1.25
ETHUSDT,6h,2018-03-01,2020-11-15,SMA,29,11729.237,15.54,31,140,1.11
ETHUSDT,6h,2018-03-01,2020-11-15,SMA,30,11861.671,16.844,33,135,1.2
