data processed,parameter,portofolio final value,%
BTCUSDT-2017-2020-30m,10,6241.888651282155,-37.581113487178456
BTCUSDT-2017-2020-30m,11,6174.48812832847,-38.255118716715295
BTCUSDT-2017-2020-30m,12,6119.817496215485,-38.80182503784514
BTCUSDT-2017-2020-30m,13,6373.197036685661,-36.26802963314339
BTCUSDT-2017-2020-30m,14,6675.027828169652,-33.24972171830348
BTCUSDT-2017-2020-30m,15,6862.51756463731,-31.374824353626902
BTCUSDT-2017-2020-30m,16,7009.807136101053,-29.901928638989467
BTCUSDT-2017-2020-30m,17,7398.596603883428,-26.014033961165723
BTCUSDT-2017-2020-30m,18,7431.256352550721,-25.687436474492785
BTCUSDT-2017-2020-30m,19,7455.197180586814,-25.448028194131854
BTCUSDT-2017-2020-30m,20,7765.617810377207,-22.34382189622793
BTCUSDT-2017-2020-30m,21,7751.796935070401,-22.482030649295996
BTCUSDT-2017-2020-30m,22,7991.390456090338,-20.086095439096617
BTCUSDT-2017-2020-30m,23,8122.09784799595,-18.779021520040494
BTCUSDT-2017-2020-30m,24,8123.821586368391,-18.76178413631609
BTCUSDT-2017-2020-30m,25,8288.951686777911,-17.11048313222089
BTCUSDT-2017-2020-30m,26,8460.033782170523,-15.399662178294765
BTCUSDT-2017-2020-30m,27,8663.592490165038,-13.364075098349623
BTCUSDT-2017-2020-30m,28,8949.892657381466,-10.50107342618534
BTCUSDT-2017-2020-30m,29,8964.072008826965,-10.359279911730354
BTCUSDT-2017-2020-30m,30,9088.85806959124,-9.111419304087594
