data processed,parameter,portofolio final value,%
BTCUSDT-2017-2020-3d,10,14133.102285976373,41.33102285976373
BTCUSDT-2017-2020-3d,11,15277.398294399401,52.773982943994014
BTCUSDT-2017-2020-3d,12,15499.261805647751,54.99261805647752
BTCUSDT-2017-2020-3d,13,15466.735274624505,54.667352746245044
BTCUSDT-2017-2020-3d,14,15518.72152981588,55.18721529815881
BTCUSDT-2017-2020-3d,15,15582.947944176747,55.82947944176747
BTCUSDT-2017-2020-3d,16,15413.67434003171,54.1367434003171
BTCUSDT-2017-2020-3d,17,14583.809025300206,45.838090253002065
BTCUSDT-2017-2020-3d,18,13438.669727598868,34.38669727598868
BTCUSDT-2017-2020-3d,19,13320.611541827351,33.20611541827351
BTCUSDT-2017-2020-3d,20,13490.994600854932,34.909946008549326
BTCUSDT-2017-2020-3d,21,13131.301343018364,31.313013430183638
BTCUSDT-2017-2020-3d,22,13339.136668408022,33.39136668408022
BTCUSDT-2017-2020-3d,23,13389.049241796107,33.89049241796106
BTCUSDT-2017-2020-3d,24,13753.440431271574,37.53440431271574
BTCUSDT-2017-2020-3d,25,13460.921466383348,34.609214663833484
BTCUSDT-2017-2020-3d,26,13117.173546394404,31.17173546394404
BTCUSDT-2017-2020-3d,27,13169.66761873876,31.696676187387602
BTCUSDT-2017-2020-3d,28,13523.08746039936,35.2308746039936
BTCUSDT-2017-2020-3d,29,13419.520588554476,34.195205885544766
BTCUSDT-2017-2020-3d,30,13059.716339339413,30.597163393394126
