data processed,parameter,portofolio final value,%
BTCUSDT-2017-2020-6h,10,13216.02499380596,32.16024993805961
BTCUSDT-2017-2020-6h,11,13366.303408325264,33.66303408325264
BTCUSDT-2017-2020-6h,12,13547.242448058989,35.472424480589886
BTCUSDT-2017-2020-6h,13,13745.85420770759,37.458542077075904
BTCUSDT-2017-2020-6h,14,13343.044481431343,33.43044481431343
BTCUSDT-2017-2020-6h,15,13336.3301756131,33.363301756131
BTCUSDT-2017-2020-6h,16,13620.32900880923,36.20329008809231
BTCUSDT-2017-2020-6h,17,13165.747010763975,31.657470107639746
BTCUSDT-2017-2020-6h,18,13083.023479809457,30.83023479809457
BTCUSDT-2017-2020-6h,19,12919.145315997906,29.191453159979062
BTCUSDT-2017-2020-6h,20,12740.924625552505,27.409246255525048
BTCUSDT-2017-2020-6h,21,12707.725254030305,27.077252540303054
BTCUSDT-2017-2020-6h,22,12679.192805253053,26.79192805253053
BTCUSDT-2017-2020-6h,23,12690.024672252996,26.900246722529953
BTCUSDT-2017-2020-6h,24,13031.359985417426,30.31359985417426
BTCUSDT-2017-2020-6h,25,13604.80288378098,36.048028837809795
BTCUSDT-2017-2020-6h,26,14021.844390228944,40.21844390228944
BTCUSDT-2017-2020-6h,27,14050.618819669353,40.50618819669353
BTCUSDT-2017-2020-6h,28,14471.30361555424,44.7130361555424
BTCUSDT-2017-2020-6h,29,14672.107056178544,46.72107056178544
BTCUSDT-2017-2020-6h,30,14517.591500657745,45.17591500657745
