data processed,parameter,portofolio final value,%
ETHUSDT-2017-2020-30m,10,7205.504977610194,-27.944950223898058
ETHUSDT-2017-2020-30m,11,7331.8766432848815,-26.681233567151185
ETHUSDT-2017-2020-30m,12,7377.634497892802,-26.223655021071977
ETHUSDT-2017-2020-30m,13,7902.3265725594465,-20.976734274405533
ETHUSDT-2017-2020-30m,14,8227.576427561064,-17.724235724389363
ETHUSDT-2017-2020-30m,15,8030.451459148453,-19.69548540851547
ETHUSDT-2017-2020-30m,16,8302.064309600117,-16.979356903998834
ETHUSDT-2017-2020-30m,17,8344.895311947323,-16.551046880526773
ETHUSDT-2017-2020-30m,18,8310.502656702907,-16.89497343297093
ETHUSDT-2017-2020-30m,19,8243.42293774371,-17.565770622562905
ETHUSDT-2017-2020-30m,20,8381.047663215615,-16.18952336784385
ETHUSDT-2017-2020-30m,21,8472.653118001092,-15.273468819989084
ETHUSDT-2017-2020-30m,22,8854.051337091747,-11.45948662908253
ETHUSDT-2017-2020-30m,23,9135.29743864676,-8.647025613532405
ETHUSDT-2017-2020-30m,24,9297.54666749446,-7.0245333250554
ETHUSDT-2017-2020-30m,25,9365.050356438807,-6.349496435611927
ETHUSDT-2017-2020-30m,26,9462.857324038945,-5.371426759610549
ETHUSDT-2017-2020-30m,27,9533.119623496184,-4.668803765038156
ETHUSDT-2017-2020-30m,28,9380.181786570345,-6.198182134296549
ETHUSDT-2017-2020-30m,29,9506.543584252559,-4.934564157474415
ETHUSDT-2017-2020-30m,30,9851.836500101617,-1.4816349989838271
